content_id,client_id,pred_proba,confidence_tier,reason_code,is_declining_label
content_d0cadc3e2773,client_434c9b5ae5,0.8432780064007225,high,falls in the 31-90-day freshness bracket,0
content_c84a0ab98e90,client_f369cb89fc,0.8374516807593121,high,low prior search visibility,0
content_3d6236696109,client_434c9b5ae5,0.8348120185591633,high,falls in the 31-90-day freshness bracket,0
content_f562786a3f25,client_434c9b5ae5,0.8335950812209811,high,falls in the 31-90-day freshness bracket,1
content_ddf7d7516f0f,client_434c9b5ae5,0.8325664990400589,high,falls in the 31-90-day freshness bracket,1
content_4ef69f179958,client_434c9b5ae5,0.8323313966078035,high,falls in the 31-90-day freshness bracket,0
content_e5b7ee456c43,client_434c9b5ae5,0.832323695368518,high,falls in the 31-90-day freshness bracket,1
content_e906960b0d12,client_434c9b5ae5,0.8300249009113387,high,falls in the 31-90-day freshness bracket,0
content_bf212b1edf1a,client_434c9b5ae5,0.8300017721919768,high,falls in the 31-90-day freshness bracket,1
content_2f51ca262e66,client_434c9b5ae5,0.8262153124333194,high,falls in the 31-90-day freshness bracket,0
content_14adfd402445,client_434c9b5ae5,0.8246558875887541,high,falls in the 31-90-day freshness bracket,0
content_809b527bca22,client_434c9b5ae5,0.8245874958315463,high,falls in the 31-90-day freshness bracket,0
content_1c5b4e73b153,client_434c9b5ae5,0.8226774950091231,high,falls in the 31-90-day freshness bracket,1
content_34b33e6b67e1,client_434c9b5ae5,0.822465127253899,high,falls in the 31-90-day freshness bracket,0
content_3d758391f2d4,client_434c9b5ae5,0.8224247725879203,high,falls in the 31-90-day freshness bracket,0
content_cb385644ae55,client_434c9b5ae5,0.8216117696858083,high,falls in the 31-90-day freshness bracket,1
content_db9707562907,client_434c9b5ae5,0.8215516974357707,high,falls in the 31-90-day freshness bracket,1
content_f26254fad8aa,client_434c9b5ae5,0.8214312910209856,high,falls in the 31-90-day freshness bracket,0
content_178b0367d8f4,client_434c9b5ae5,0.821034278018299,high,falls in the 31-90-day freshness bracket,1
content_1b8d40b05698,client_434c9b5ae5,0.8208984939695968,high,falls in the 31-90-day freshness bracket,0
content_7947d714b3b3,client_434c9b5ae5,0.8197236697013331,high,falls in the 31-90-day freshness bracket,1
content_b925c292d21b,client_bdd2d3af3a,0.8196727026175418,high,falls in the 31-90-day freshness bracket,1
content_696f7cd298e3,client_434c9b5ae5,0.8196305630007763,high,falls in the 31-90-day freshness bracket,1
content_554675403de2,client_434c9b5ae5,0.8195546771703853,high,falls in the 31-90-day freshness bracket,1
content_083bac35aa08,client_434c9b5ae5,0.8194781337796702,high,falls in the 31-90-day freshness bracket,0
content_ab87b527fbea,client_434c9b5ae5,0.819375014071331,high,falls in the 31-90-day freshness bracket,1
content_a5dbb404bdc2,client_f369cb89fc,0.8183826936026839,high,hasn't been refreshed in a while,0
content_a6b8c4fb779b,client_f369cb89fc,0.8182024949142366,high,falls in the 31-90-day freshness bracket,1
content_e5bcdfaadccd,client_434c9b5ae5,0.8181909090580792,high,falls in the 31-90-day freshness bracket,1
content_60f028266daa,client_f369cb89fc,0.817956116705811,high,falls in the 31-90-day freshness bracket,0
content_24c504b57001,client_434c9b5ae5,0.817639230895742,high,falls in the 31-90-day freshness bracket,1
content_31c4d526956d,client_434c9b5ae5,0.8171986209431797,high,falls in the 31-90-day freshness bracket,1
content_41eb625c4aca,client_434c9b5ae5,0.8160258092181049,high,falls in the 31-90-day freshness bracket,1
content_33ddda1a8c7a,client_bdd2d3af3a,0.8148029621199976,high,falls in the 31-90-day freshness bracket,1
content_73c54f78c06a,client_f369cb89fc,0.8144764490252906,high,low prior search visibility,0
content_0628102f4044,client_434c9b5ae5,0.8107833929401971,high,falls in the 31-90-day freshness bracket,1
content_39881853ef0c,client_f369cb89fc,0.8097333647290531,high,low prior search visibility,1
content_9066e7c9a8ba,client_434c9b5ae5,0.809534447039269,high,falls in the 31-90-day freshness bracket,0
content_24706e54a64c,client_434c9b5ae5,0.8085986785560502,high,falls in the 31-90-day freshness bracket,1
content_5773c94c67f5,client_434c9b5ae5,0.8068562169342919,high,falls in the 31-90-day freshness bracket,1
content_34c0c51255aa,client_434c9b5ae5,0.7994357767158996,high,falls in the 31-90-day freshness bracket,0
content_5fe46e04994d,client_4e07408562,0.799038045221717,high,low prior search visibility,1
content_e3de4ddde194,client_434c9b5ae5,0.7987657727886915,high,falls in the 31-90-day freshness bracket,0
content_abe37bcc8db9,client_434c9b5ae5,0.7968011662852521,high,falls in the 31-90-day freshness bracket,1
content_cbffee46b629,client_f369cb89fc,0.7939177156557542,high,hasn't been refreshed in a while,1
content_ef9bdd92b523,client_8527a891e2,0.7919749918539062,high,hasn't been refreshed in a while,0
content_6ac3ab740bbf,client_f369cb89fc,0.787261959735657,high,hasn't been refreshed in a while,1
content_c8300a2e0cfa,client_8527a891e2,0.7868392046127916,high,hasn't been refreshed in a while,1
content_c65ee459f729,client_f369cb89fc,0.7825559458089385,high,hasn't been refreshed in a while,1
content_8d3971bfd976,client_f369cb89fc,0.781816610774147,high,low prior search visibility,1
content_84c5f6af423c,client_8527a891e2,0.7795733569070128,high,hasn't been refreshed in a while,0
content_124103b6a88e,client_8527a891e2,0.7795672412588549,high,hasn't been refreshed in a while,0
content_661e0e54bdd8,client_8527a891e2,0.7785004033971492,high,hasn't been refreshed in a while,0
content_0ea80678706d,client_f369cb89fc,0.7784258085888733,high,hasn't been refreshed in a while,0
content_829c68e60d13,client_f369cb89fc,0.7782757143072159,high,hasn't been refreshed in a while,1
content_b08562686d22,client_f369cb89fc,0.7781750984501161,high,hasn't been refreshed in a while,1
content_217ab13a19c2,client_8527a891e2,0.7778084130142925,high,hasn't been refreshed in a while,0
content_4d6923d17c10,client_8527a891e2,0.7771593960797492,high,hasn't been refreshed in a while,1
content_624b2fd8dca5,client_8527a891e2,0.7767558643842595,high,hasn't been refreshed in a while,0
content_b2df860b928d,client_8527a891e2,0.7766887334489689,high,hasn't been refreshed in a while,1
content_1de940de6ed3,client_8527a891e2,0.7748020816078711,high,hasn't been refreshed in a while,0
content_26d48a980581,client_f369cb89fc,0.7728036720820309,high,hasn't been refreshed in a while,0
content_1e445ab8e155,client_8527a891e2,0.7715007350259387,high,hasn't been refreshed in a while,0
content_4688b93476a1,client_8527a891e2,0.7703739846540003,high,hasn't been refreshed in a while,1
content_94feac677ec4,client_f369cb89fc,0.7691850838530102,high,hasn't been refreshed in a while,0
content_29717601b959,client_8527a891e2,0.7689739351001248,high,falls in the 31-90-day age bracket,0
content_b35a7acdc3a8,client_8527a891e2,0.7688457380742625,high,falls in the 31-90-day age bracket,0
content_035b17df40a9,client_8527a891e2,0.7643607932279706,high,falls in the 31-90-day age bracket,0
content_213de49d5c4b,client_8527a891e2,0.7642228110065297,high,falls in the 31-90-day age bracket,0
content_e31bcb95fda5,client_8527a891e2,0.7626193121919448,high,hasn't been refreshed in a while,0
content_729cc06d3477,client_8527a891e2,0.7619172786323514,high,hasn't been refreshed in a while,0
content_9a1cd75f0ee6,client_8527a891e2,0.7600164116957117,high,hasn't been refreshed in a while,1
content_27a2fd237adb,client_8527a891e2,0.758139391800904,high,falls in the 31-90-day age bracket,1
content_c858cef28937,client_8527a891e2,0.758078078270991,high,falls in the 31-90-day age bracket,1
content_452a4e18212c,client_f369cb89fc,0.7567938699379745,high,hasn't been refreshed in a while,1
content_a10111bc536d,client_8527a891e2,0.7565796920698997,high,hasn't been refreshed in a while,0
content_df1e8cee858c,client_f369cb89fc,0.7551253127816253,high,hasn't been refreshed in a while,1
content_7764f406228e,client_8527a891e2,0.7550304157648716,high,hasn't been refreshed in a while,1
content_9b28cf5ae4f3,client_f369cb89fc,0.7547838426681797,high,hasn't been refreshed in a while,1
content_fb5d45e07ce9,client_8527a891e2,0.7542672869129452,high,falls in the 31-90-day age bracket,1
content_24b8d8860ad9,client_8527a891e2,0.7530536690408234,high,hasn't been refreshed in a while,0
content_5eabfc22996f,client_8527a891e2,0.7529802722681189,high,hasn't been refreshed in a while,1
content_5020ecbfa404,client_8527a891e2,0.7529263023221712,high,hasn't been refreshed in a while,1
content_454ad2864776,client_f369cb89fc,0.7517714013036703,high,hasn't been refreshed in a while,1
content_6b5f0ad50076,client_8527a891e2,0.7517663412910702,high,hasn't been refreshed in a while,0
content_b774a3d92c71,client_8527a891e2,0.7515021404180611,high,falls in the 31-90-day age bracket,1
content_ec9134ab6c04,client_bdd2d3af3a,0.7511294510687899,high,falls in the 31-90-day age bracket,0
content_336505277c39,client_8527a891e2,0.750810730025997,high,hasn't been refreshed in a while,1
content_ebc1218e6383,client_f369cb89fc,0.7507748152605247,high,hasn't been refreshed in a while,1
content_66e131a41173,client_8527a891e2,0.7505100718965869,high,hasn't been refreshed in a while,0
content_97ec8ce69833,client_8527a891e2,0.7503453959334804,high,hasn't been refreshed in a while,0
content_e3a34c1706cf,client_8527a891e2,0.7499862276113385,high,hasn't been refreshed in a while,1
content_f68bcc71c8f5,client_8527a891e2,0.7494978462491243,high,hasn't been refreshed in a while,0
content_b6f781c2cfc5,client_8527a891e2,0.7491812553823766,high,falls in the 31-90-day age bracket,0
content_611615ca6d4a,client_8527a891e2,0.7490467350052096,high,hasn't been refreshed in a while,1
content_84bc4706ba53,client_8527a891e2,0.7487348417932003,high,falls in the 31-90-day age bracket,1
content_83100747c9cb,client_8527a891e2,0.7479613701373834,high,hasn't been refreshed in a while,0
content_58c4b92b92aa,client_8527a891e2,0.7478959416739556,high,hasn't been refreshed in a while,0
content_1b2599d94e29,client_8527a891e2,0.7475829787186843,high,hasn't been refreshed in a while,0
content_a860ee9e7ae4,client_8527a891e2,0.74753794626487,high,hasn't been refreshed in a while,1
content_3d25f2a8e2ff,client_8527a891e2,0.7471852976028138,high,falls in the 31-90-day age bracket,1
content_ea8a83a2510c,client_8527a891e2,0.7468531620327907,high,hasn't been refreshed in a while,0
content_48cecb04b88e,client_8527a891e2,0.7465137866289073,high,hasn't been refreshed in a while,1
content_dc0eaf635a88,client_8527a891e2,0.7464241339025277,high,hasn't been refreshed in a while,0
content_72d7cb87d6e0,client_8527a891e2,0.7463415024324378,high,falls in the 31-90-day age bracket,1
content_793b7376a0e5,client_8527a891e2,0.746270212404422,high,falls in the 31-90-day age bracket,1
content_9eb3f1242600,client_8527a891e2,0.7456870829100557,high,falls in the 31-90-day age bracket,0
content_45b7ba1087e0,client_8527a891e2,0.7454834145546609,high,hasn't been refreshed in a while,0
content_3a470a752d01,client_8527a891e2,0.7451705368670358,high,hasn't been refreshed in a while,1
content_dcd38075ec2c,client_8527a891e2,0.7449398681087691,high,hasn't been refreshed in a while,0
content_c9fff7c4660c,client_8527a891e2,0.7448317301026313,high,hasn't been refreshed in a while,0
content_66a116641435,client_8b940be7fb,0.7444678900917958,high,falls in the 31-90-day age bracket,0
content_c52c90c985dd,client_8527a891e2,0.7443371963410308,high,hasn't been refreshed in a while,0
content_484c921cf398,client_bdd2d3af3a,0.7441733182229109,high,falls in the 31-90-day age bracket,0
content_f5bea636bfbb,client_8527a891e2,0.7438535013621621,high,hasn't been refreshed in a while,0
content_73ea2e79f832,client_8527a891e2,0.743842820412047,high,hasn't been refreshed in a while,0
content_b1f6e3157229,client_8527a891e2,0.7433867170408796,high,hasn't been refreshed in a while,0
content_0951779fa0ca,client_8527a891e2,0.7428873395366076,high,falls in the 31-90-day age bracket,1
content_453722754fea,client_f369cb89fc,0.7428742145796258,high,low prior search visibility,1
content_701d4ba4e25d,client_8527a891e2,0.7428557970170969,high,falls in the 31-90-day age bracket,0
content_082eb79ae608,client_8527a891e2,0.7420061594365067,high,hasn't been refreshed in a while,0
content_6a552ab4e642,client_8527a891e2,0.7418697691107491,high,falls in the 31-90-day age bracket,1
content_1b7188b37ffc,client_8527a891e2,0.7412916228297858,high,hasn't been refreshed in a while,1
content_5c7a9bd6cbfe,client_8527a891e2,0.7412098832314038,high,hasn't been refreshed in a while,0
content_3360183fec42,client_8527a891e2,0.7407972328244964,high,hasn't been refreshed in a while,1
content_da3f2c1bef3f,client_8527a891e2,0.7407872993337902,high,hasn't been refreshed in a while,1
content_881635edbf8b,client_8527a891e2,0.7405518243864513,high,hasn't been refreshed in a while,0
content_31e9e68e79fd,client_8527a891e2,0.7404235673558033,high,falls in the 31-90-day age bracket,0
content_57efee64224c,client_8527a891e2,0.7403092544072175,high,falls in the 31-90-day age bracket,0
content_c4e07dca1672,client_8527a891e2,0.7399747246151498,high,falls in the 31-90-day age bracket,0
content_a0e0cffaef37,client_8527a891e2,0.7396700090220811,high,hasn't been refreshed in a while,1
